epoch,train_loss,val_loss
1,0.4051812888465376,0.0736699104309082
2,0.09513222187375411,0.05343347415328026
3,0.08862574672342366,0.05111101642251015
4,0.0858354684856967,0.05063967779278755
5,0.0851272155618311,0.05162044242024422
6,0.08392835644065824,0.04963270202279091
7,0.08376331054247342,0.049669042229652405
8,0.08252023520250605,0.050122037529945374
9,0.08266034451687437,0.04971038177609444
10,0.08167118918246184,0.04994183033704758
11,0.08116820484845556,0.04853245988488197
12,0.07986904285911821,0.048927340656518936
13,0.07990037624397849,0.047979459166526794
14,0.07973377938326608,0.05026917904615402
15,0.0791480028603831,0.04867343232035637
16,0.07866050693023409,0.0491006039083004
17,0.07801610056279051,0.049168750643730164
18,0.07784801009946908,0.04764249548316002
19,0.0774484332332499,0.047156140208244324
20,0.07656765995053653,0.04741939529776573
21,0.07642414016474007,0.04772774502635002
22,0.07576965293886824,0.047782059758901596
23,0.07602072698183548,0.04748281091451645
24,0.075752702056088,0.04749109968543053
25,0.07502116535145503,0.04852738976478577
26,0.07504034940248881,0.04704057052731514
27,0.07450240149966672,0.047243546694517136
28,0.0739244617935684,0.04684995114803314
29,0.0735455988946124,0.047794096171855927
30,0.07352286203103697,0.049095600843429565
31,0.07295246395226727,0.047359272837638855
32,0.07291255951819257,0.047440655529499054
33,0.07221725064083043,0.046339310705661774
34,0.072103464211791,0.04603074491024017
35,0.07168738973828462,0.047450874000787735
